 ,Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen,Slice,Type
25,GFP_colonies:0025-1316,751,255.0000,255,255,2993.5000,1316.5399,2978,1301,31,31,191505.0000,191505.0000,1,2
26,GFP_colonies:0026-1338,1696,0.0000,0,0,2179.6409,1338.2064,2153,1315,49,46,0.0000,0.0000,1,1
27,GFP_colonies:0027-1351,1410,0.0000,0,0,2406.6525,1351.1092,2385,1330,43,42,0.0000,0.0000,1,1
28,GFP_colonies:0028-1360,1964,178.0066,0,255,2805.0864,1355.1966,2784,1334,53,53,349605.0000,349605.0000,1,2
29,GFP_colonies:0029-1356,1506,0.0000,0,0,3183.3871,1355.8426,3162,1334,44,44,0.0000,0.0000,1,1
30,GFP_colonies:0030-1373,2001,180.7046,0,255,2971.5994,1369.0980,2950,1348,55,51,361590.0000,361590.0000,1,2
31,GFP_colonies:0031-1375,1256,0.0000,0,0,1183.9403,1373.5979,1167,1350,34,50,0.0000,0.0000,1,1
32,GFP_colonies:0032-1394,2038,175.5471,0,255,2290.8678,1389.6368,2270,1368,54,53,357765.0000,357765.0000,1,2
33,GFP_colonies:0033-1396,1840,0.0000,0,0,2117.3799,1396.6641,2088,1373,54,47,0.0000,0.0000,1,1
34,GFP_colonies:0034-1413,2142,176.6667,0,255,3881.4919,1407.8322,3860,1386,53,54,378420.0000,378420.0000,1,2
35,GFP_colonies:0035-1398,142,0.0000,0,0,3411.9789,1398.5282,3403,1388,18,21,0.0000,0.0000,1,1
36,GFP_colonies:0036-1433,1429,0.0000,0,0,3186.4426,1432.7022,3164,1412,45,42,0.0000,0.0000,1,1
37,GFP_colonies:0037-1443,1632,0.0000,0,0,3481.5619,1443.0680,3458,1421,46,45,0.0000,0.0000,1,1
38,GFP_colonies:0038-1458,1343,0.0000,0,0,3732.7420,1459.0800,3710,1439,46,38,0.0000,0.0000,1,1
39,GFP_colonies:0039-1496,1474,0.0000,0,0,3729.4925,1495.2171,3706,1476,47,40,0.0000,0.0000,1,1
40,GFP_colonies:0040-1516,1971,183.4551,0,255,3170.7440,1511.9203,3149,1491,54,51,361590.0000,361590.0000,1,2
41,GFP_colonies:0041-1520,1580,0.0000,0,0,2991.8000,1521.0089,2969,1498,46,45,0.0000,0.0000,1,1
42,GFP_colonies:0042-1545,1270,0.0000,0,0,3460.7819,1544.8323,3440,1526,42,38,0.0000,0.0000,1,1
43,GFP_colonies:0043-1556,2444,169.2349,0,255,2551.2429,1551.6387,2523,1529,67,54,413610.0000,413610.0000,1,2
44,GFP_colonies:0044-1569,1577,0.0000,0,0,2663.9997,1568.9242,2641,1546,46,46,0.0000,0.0000,1,1
45,GFP_colonies:0045-1580,1877,186.1215,0,255,3422.2985,1575.7036,3401,1555,53,50,349350.0000,349350.0000,1,2
46,GFP_colonies:0046-1579,427,255.0000,255,255,4136.5773,1579.6311,4124,1568,25,22,108885.0000,108885.0000,1,2
47,GFP_colonies:0047-1597,325,0.0000,0,0,2765.2077,1596.5954,2754,1586,22,22,0.0000,0.0000,1,1
48,GFP_colonies:0048-1612,2034,177.5221,0,255,3949.8962,1607.7521,3929,1586,53,52,361080.0000,361080.0000,1,2
